"Id","Entity","Action","ExpiringAspect","Aspect1","Aspect2","Aspect3","Aspect4","Aspect5","Weight","AddEntity","AddAction","AddActionsFromGroup","CountNewActions","AddEntitiesFromGroup","CountNewEntities","AddAspect1","Aspect1Time","AddAspect2","AddAspect2Time","AddAntiAspect1","AddAntiAspect1Time","AddAntiAspect2","AddAntiAspect2Time","DeleteAspect1","DeleteAspect2","DeleteAntiAspect1","DeleteAntiAspect2","DeleteEntity","NewAspectTime","AddAspect2","AddAspect2Time","DeleteAspect1","DeleteAspect2","DeleteAction","Log"
"1","mystreet","","meeting","","","","","","","oldlady","","","","","","meeting","4","","","","","","","","","","","","","","","","","","",""
"1","mystreet","","inhabited","","","","","","","","","","","passers2","1","inhabited","3","","","","","","","","","","","","","","","","","","",""
"3","","","move","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","",""
"3","","","focus","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","",""
"4","myroom","","surprise","","","","","","","","","","","room_surprise","1","surprise","3","","","","","","","","","","","","","","","","","","",""
"6","head","","sadness","","","","","","","madness","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","trash_pack","","decomposition","","","","","","","rat","","","","","1","decomposition","4","","","","","","","","","","","","","","","","","","",""
"8","book_closet","","old","","","","","","","trash_pack","","","","books","3","decomposition","6","","","","","","","","","","","1","","","","","","","",""
"9","general_book","","old","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"10","general_book2","","old","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"11","general_book3","","old","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"12","rat","","move","","","","","","","","","","","rat","2","","","","","","","","","","","","","1","","","","","","","",""
"12","rat1","","move","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"12","rat2","","move","","","","","","","madness","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"12","creak","","move","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"13","","","sickness","","","","","","","sickness","","","","","","","","","","","","","","","","","","1","","","","","","","",""
"15","corpse","","sickness","","","","","","","illness","","","","","","sickness","3","","","","","","","","","","","","","","","","","","",""
"16","corpse","","decomposition","","","","","","","rat","","","","","","decomposition","3","","","","","","","","","","","","","","","","","","",""
